,trialid,n1,n2,n3
1374,180,5,1,4
1375,180,1,4,5
1376,180,4,5,8
1377,180,5,8,2
1378,180,8,2,7
1379,180,2,7,9
1380,180,7,9,6
1381,180,9,6,2
1382,180,6,2,NA
1383,180,2,NA,NA
1384,181,9,5,1
1385,181,5,1,3
1386,181,1,3,6
1387,181,3,6,9
1388,181,6,9,6
1389,181,9,6,1
1390,181,6,1,7
1391,181,1,7,8
1392,181,7,8,2
1393,181,8,2,NA
1394,181,2,NA,NA
1395,182,9,5,1
1396,182,5,1,4
1397,182,1,4,6
1398,182,4,6,8
1399,182,6,8,2
1400,182,8,2,7
1401,182,2,7,9
1402,182,7,9,6
1403,182,9,6,1
1404,182,6,1,NA
1405,182,1,NA,NA
1406,183,9,6,2
1407,183,6,2,4
1408,183,2,4,6
1409,183,4,6,9
1410,183,6,9,6
1411,183,9,6,1
1412,183,6,1,7
1413,183,1,7,9
1414,183,7,9,6
1415,183,9,6,1
1416,183,6,1,NA
1417,183,1,NA,NA
1418,184,9,6,2
1419,184,6,2,3
1420,184,2,3,6
1421,184,3,6,9
1422,184,6,9,6
1423,184,9,6,2
1424,184,6,2,7
1425,184,2,7,9
1426,184,7,9,6
1427,184,9,6,1
1428,184,6,1,NA
1429,184,1,NA,NA
1430,185,9,6,2
1431,185,6,2,4
1432,185,2,4,6
1433,185,4,6,9
1434,185,6,9,6
1435,185,9,6,2
1436,185,6,2,7
1437,185,2,7,9
1438,185,7,9,5
1439,185,9,5,2
1440,185,5,2,NA
1441,185,2,NA,NA
1442,186,9,6,2
1443,186,6,2,3
1444,186,2,3,5
1445,186,3,5,9
1446,186,5,9,5
1447,186,9,5,2
1448,186,5,2,7
1449,186,2,7,9
1450,186,7,9,6
1451,186,9,6,2
1452,186,6,2,NA
1453,186,2,NA,NA
1454,187,9,5,1
1455,187,5,1,3
1456,187,1,3,6
1457,187,3,6,9
1458,187,6,9,6
1459,187,9,6,2
1460,187,6,2,7
1461,187,2,7,9
1462,187,7,9,5
1463,187,9,5,1
1464,187,5,1,NA
1465,187,1,NA,NA
1466,188,9,6,2
1467,188,6,2,4
1468,188,2,4,6
1469,188,4,6,9
1470,188,6,9,6
1471,188,9,6,1
1472,188,6,1,7
1473,188,1,7,9
1474,188,7,9,5
1475,188,9,5,2
1476,188,5,2,NA
1477,188,2,NA,NA
1478,189,9,5,1
1479,189,5,1,3
1480,189,1,3,6
1481,189,3,6,9
1482,189,6,9,6
1483,189,9,6,1
1484,189,6,1,7
1485,189,1,7,9
1486,189,7,9,5
1487,189,9,5,2
1488,189,5,2,NA
1489,189,2,NA,NA
1490,190,9,6,1
1491,190,6,1,3
1492,190,1,3,5
1493,190,3,5,9
1494,190,5,9,6
1495,190,9,6,1
1496,190,6,1,7
1497,190,1,7,9
1498,190,7,9,5
1499,190,9,5,1
1500,190,5,1,NA
1501,190,1,NA,NA
1502,191,9,6,1
1503,191,6,1,3
1504,191,1,3,5
1505,191,3,5,9
1506,191,5,9,5
1507,191,9,5,2
1508,191,5,2,7
1509,191,2,7,9
1510,191,7,9,5
1511,191,9,5,2
1512,191,5,2,NA
1513,191,2,NA,NA
1514,192,9,5,2
1515,192,5,2,3
1516,192,2,3,5
1517,192,3,5,9
1518,192,5,9,6
1519,192,9,6,2
1520,192,6,2,7
1521,192,2,7,9
1522,192,7,9,6
1523,192,9,6,2
1524,192,6,2,NA
1525,192,2,NA,NA
1526,193,9,5,2
1527,193,5,2,3
1528,193,2,3,5
1529,193,3,5,9
1530,193,5,9,6
1531,193,9,6,1
1532,193,6,1,7
1533,193,1,7,9
1534,193,7,9,6
1535,193,9,6,2
1536,193,6,2,NA
1537,193,2,NA,NA
1538,194,9,5,2
1539,194,5,2,4
1540,194,2,4,5
1541,194,4,5,9
1542,194,5,9,5
1543,194,9,5,1
1544,194,5,1,7
1545,194,1,7,9
1546,194,7,9,5
1547,194,9,5,2
1548,194,5,2,NA
1549,194,2,NA,NA
1550,195,9,5,1
1551,195,5,1,4
1552,195,1,4,6
1553,195,4,6,9
1554,195,6,9,5
1555,195,9,5,2
1556,195,5,2,7
1557,195,2,7,9
1558,195,7,9,5
1559,195,9,5,2
1560,195,5,2,NA
1561,195,2,NA,NA
